Dataset	Frequency	Scan
MSV000083475	1	620
MSV000083523	1	620
MSV000083578	3	620
MSV000083647	2	620
MSV000083756	4	620
MSV000083825	5	620
MSV000084314	19	620
MSV000084556	2	620
MSV000085120	1	620
MSV000085153	4	620
MSV000085446	1	620
MSV000086428	2	620
MSV000086483	2	620
MSV000086608	1	620
MSV000086639	10	620
MSV000086721	9	620
MSV000087087	3	620
MSV000087130	86	620
MSV000087135	1	620
MSV000088137	12	620
MSV000088196	54	620
MSV000088570	52	620
MSV000088640	1	620
MSV000088646	5	620
MSV000089552	15	620
MSV000089907	2	620
MSV000081151	2	1025
MSV000082608	5	1025
MSV000084314	1	1846
